,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
20,Acinetobacter~phage~Acj9,Caudovirales,Myoviridae,Unassigned,59_4,Clustered,2,VC_59_4,2,0.0107,0.95189707,0.0102,1,1,1,1.0
21,Acinetobacter~phage~Bphi-B1251,Caudovirales,Podoviridae,Unassigned,64_0,Clustered,2,VC_64_0,2,0.392,0.93973606,0.3683,1,2,2,1.0
22,Acinetobacter~phage~Fri1,Caudovirales,Podoviridae,Fri1virus,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
23,Acinetobacter~phage~IME_AB3,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,19,VC_1_0,19,0.4021,1.0,0.4021,3,2,2,1.0
24,Acinetobacter~phage~LZ35,Unassigned,Unassigned,Unassigned,52_0,Clustered,4,VC_52_0,4,0.7717,0.99981922,0.7716,2,2,2,1.0
25,Acinetobacter~phage~Petty,Caudovirales,Podoviridae,Unassigned,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
26,Acinetobacter~phage~YMC-13-01-C62,Caudovirales,Myoviridae,Ap22virus,52_0,Clustered,4,VC_52_0,4,0.7717,0.99981922,0.7716,2,2,2,1.0
27,Acinetobacter~phage~YMC11/12/R2315,Caudovirales,Myoviridae,Unassigned,52_0,Clustered,4,VC_52_0,4,0.7717,0.99981922,0.7716,2,2,2,1.0
28,Acinetobacter~phage~ZZ1,Caudovirales,Myoviridae,Unassigned,59_4,Clustered,2,VC_59_4,2,0.0107,0.95189707,0.0102,1,1,1,1.0
29,Acinetobacter~phage~phiAB1,Caudovirales,Podoviridae,Fri1virus,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
30,Acinetobacter~phage~phiAB6,Unassigned,Unassigned,Unassigned,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
31,Acinetobacter~phage~vB_AbaM_IME200,Caudovirales,Podoviridae,Fri1virus,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
32,Acinetobacter~phage~vB_AbaP_Acibel007,Caudovirales,Podoviridae,Unassigned,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
33,Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
34,Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,56_0,Clustered,10,VC_56_0,10,0.6271,1.0,0.6271,2,2,2,1.0
35,Acinetobacter~phage~vB_AbaS_TRS1,Unassigned,Unassigned,Unassigned,64_0,Clustered,2,VC_64_0,2,0.392,0.93973606,0.3683,1,2,2,1.0
36,Acinetobacter~virus~133,Caudovirales,Myoviridae,Unassigned,59_7,Clustered/Singleton,1,VC_59_7,1,0.0,1.0,0.0,1,1,1,1.0
37,Actinoplanes~phage~phiAsp2,Caudovirales,Siphoviridae,Unassigned,80_0,Clustered,2,VC_80_0,2,0.233,0.95289318,0.222,1,2,2,1.0
38,Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,60_4,Clustered,5,VC_60_4,5,0.069,0.99999994,0.069,1,1,1,0.9
39,Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,60_4,Clustered,5,VC_60_4,5,0.069,0.99999994,0.069,1,1,1,0.9
40,Aeromonas~phage~CC2,Caudovirales,Myoviridae,Unassigned,60_1,Clustered,2,VC_60_1,2,0.0198,0.95683707,0.019,1,1,1,1.0
41,Aeromonas~phage~PX29,Caudovirales,Myoviridae,Unassigned,60_0,Clustered,3,VC_60_0,3,0.0371,0.99854589,0.037,1,1,1,1.0
42,Aeromonas~phage~pAh6-C,Caudovirales,Myoviridae,Unassigned,94_0,Clustered,5,VC_94_0,5,1.0,1.0,1.0,1,1,1,1.0
43,Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,60_4,Clustered,5,VC_60_4,5,0.069,0.99999994,0.069,1,1,1,0.9
44,Aeromonas~phage~phiAS5,Caudovirales,Myoviridae,Unassigned,60_0,Clustered,3,VC_60_0,3,0.0371,0.99854589,0.037,1,1,1,1.0
45,Aeromonas~phage~phiAS7,Caudovirales,Podoviridae,Unassigned,96_0,Clustered,5,VC_96_0,5,0.3762,0.99999996,0.3762,1,1,1,1.0
46,Aeromonas~phage~vB_AsaM-56,Caudovirales,Myoviridae,Unassigned,55_1,Clustered,37,VC_55_1,37,0.389,1.0,0.389,1,2,2,0.973
47,Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,60_4,Clustered,5,VC_60_4,5,0.069,0.99999994,0.069,1,1,1,0.9
48,Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,60_3,Clustered,2,VC_60_3,2,0.0168,0.94837681,0.0159,2,1,1,1.0
49,Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,60_3,Clustered,2,VC_60_3,2,0.0168,0.94837681,0.0159,2,1,1,1.0
50,Aeromonas~virus~65,Caudovirales,Myoviridae,Unassigned,60_1,Clustered,2,VC_60_1,2,0.0198,0.95683707,0.019,1,1,1,1.0
51,Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,60_0,Clustered,3,VC_60_0,3,0.0371,0.99854589,0.037,1,1,1,1.0
52,Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,111_0,Clustered,7,VC_111_0,7,0.5125,1.0,0.5125,2,2,2,1.0
53,Aggregatibacter~phage~S1249,Unassigned,Unassigned,Unassigned,16_0,Clustered,2,VC_16_0,2,0.6913,0.93232695,0.6445,1,2,2,1.0
54,Agrobacterium~phage~7-7-1,Caudovirales,Myoviridae,Unassigned,116_0,Clustered,3,VC_116_0,3,0.7618,0.97408504,0.7421,1,2,2,1.0
55,Archaeal~BJ1~virus,Caudovirales,Siphoviridae,Unassigned,118_0,Clustered,2,VC_118_0,2,0.7951,0.72985431,0.5803,1,2,2,1.0
56,Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Chippewavirus,119_0,Clustered,2,VC_119_0,2,0.583,0.91237788,0.5319,2,1,1,1.0
57,Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,123_0,Clustered,2,VC_123_0,2,1.0,1.0,1.0,1,1,1,1.0
58,Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,123_0,Clustered,2,VC_123_0,2,1.0,1.0,1.0,1,1,1,1.0
59,Arthrobacter~phage~Mudcat,Caudovirales,Siphoviridae,Mudcatvirus,124_1,Clustered,15,VC_124_1,15,0.4414,1.0,0.4414,2,2,2,1.0
60,Arthrobacter~phage~vB_ArtM-ArV1,Caudovirales,Myoviridae,Arvunavirus,119_0,Clustered,2,VC_119_0,2,0.583,0.91237788,0.5319,2,1,1,1.0
61,Bacillus~phage~0305phi8-36,Caudovirales,Myoviridae,Unassigned,142_0,Clustered/Singleton,1,VC_142_0,1,0.0,1.0,0.0,1,1,1,1.0
62,Bacillus~phage~AR9,Unassigned,Unassigned,Unassigned,144_0,Clustered/Singleton,1,VC_144_0,1,0.0,1.0,0.0,1,1,1,1.0
63,Bacillus~phage~Aurora,Unassigned,Unassigned,Unassigned,76_0,Clustered,4,VC_76_0,4,0.5917,0.9999341,0.5917,1,2,2,1.0
64,Bacillus~phage~AvesoBmore,Caudovirales,Myoviridae,B4virus,143_3,Clustered,5,VC_143_3,5,0.0742,0.99999933,0.0742,2,2,2,1.0
65,Bacillus~phage~B4,Caudovirales,Myoviridae,B4virus,143_4,Clustered,2,VC_143_4,2,0.0177,0.92844422,0.0165,1,1,1,1.0
66,Bacillus~phage~BCP78,Caudovirales,Myoviridae,Tsarbombavirus,143_7,Clustered,2,VC_143_7,2,0.02,0.94625351,0.0189,1,1,1,1.0
67,Bacillus~phage~BCP8-2,Caudovirales,Myoviridae,Bc431virus,143_8,Clustered,2,VC_143_8,2,0.0206,0.94646038,0.0195,1,1,1,1.0
68,Bacillus~phage~BM5,Caudovirales,Myoviridae,Unassigned,143_5,Clustered/Singleton,1,VC_143_5,1,0.0,1.0,0.0,1,1,1,1.0
69,Bacillus~phage~BPS10C,Caudovirales,Myoviridae,Unassigned,143_6,Clustered,4,VC_143_6,4,0.0582,0.99933487,0.0581,2,2,2,1.0
70,Bacillus~phage~BPS13,Caudovirales,Myoviridae,Wphvirus,143_6,Clustered,4,VC_143_6,4,0.0582,0.99933487,0.0581,2,2,2,1.0
71,Bacillus~phage~Bam35c,Unassigned,Tectiviridae,Betatectivirus,176_0,Clustered,4,VC_176_0,4,1.0,1.0,1.0,1,1,1,1.0
72,Bacillus~phage~Bastille,Caudovirales,Myoviridae,Bastillevirus,143_2,Clustered,4,VC_143_2,4,0.0532,0.99991896,0.0532,1,1,1,1.0
73,Bacillus~phage~Bcp1,Caudovirales,Myoviridae,Bc431virus,143_9,Clustered,3,VC_143_9,3,0.0412,0.99724574,0.0411,1,1,1,1.0
74,Bacillus~phage~Belinda,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
75,Bacillus~phage~BigBertha,Caudovirales,Myoviridae,B4virus,143_3,Clustered,5,VC_143_3,5,0.0742,0.99999933,0.0742,2,2,2,1.0
76,Bacillus~phage~Bobb,Caudovirales,Myoviridae,Agatevirus,143_10,Clustered,3,VC_143_10,3,0.0497,0.9984985,0.0496,1,1,1,1.0
77,Bacillus~phage~Bp8p-C,Caudovirales,Myoviridae,Agatevirus,143_10,Clustered,3,VC_143_10,3,0.0497,0.9984985,0.0496,1,1,1,1.0
78,Bacillus~phage~CAM003,Caudovirales,Myoviridae,Bastillevirus,143_2,Clustered,4,VC_143_2,4,0.0532,0.99991896,0.0532,1,1,1,1.0
79,Bacillus~phage~CP-51,Caudovirales,Myoviridae,Cp51virus,141_1,Clustered,3,VC_141_1,3,0.4416,0.99808836,0.4407,1,1,1,1.0
80,Bacillus~phage~CampHawk,Caudovirales,Myoviridae,Spo1virus,141_0,Clustered,2,VC_141_0,2,0.1592,0.95626232,0.1523,1,1,1,1.0
81,Bacillus~phage~Claudi,Unassigned,Unassigned,Unassigned,76_0,Clustered,4,VC_76_0,4,0.5917,0.9999341,0.5917,1,2,2,1.0
82,Bacillus~phage~DIGNKC,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
83,Bacillus~phage~Deep~Blue,Caudovirales,Myoviridae,Bc431virus,143_9,Clustered,3,VC_143_9,3,0.0412,0.99724574,0.0411,1,1,1,1.0
84,Bacillus~phage~DirtyBetty,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
85,Bacillus~phage~Eldridge,Unassigned,Unassigned,Unassigned,143_12,Clustered,2,VC_143_12,2,0.0233,0.95356175,0.0222,1,2,2,1.0
86,Bacillus~phage~Evoli,Caudovirales,Myoviridae,Bastillevirus,143_2,Clustered,4,VC_143_2,4,0.0532,0.99991896,0.0532,1,1,1,1.0
87,Bacillus~phage~Eyuki,Caudovirales,Myoviridae,Wphvirus,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
88,Bacillus~phage~GIL16c,Unassigned,Tectiviridae,Betatectivirus,176_0,Clustered,4,VC_176_0,4,1.0,1.0,1.0,1,1,1,1.0
89,Bacillus~phage~Grass,Caudovirales,Myoviridae,Nit1virus,143_11,Clustered,2,VC_143_11,2,0.0245,0.95608909,0.0234,1,1,1,1.0
90,Bacillus~phage~Hakuna,Caudovirales,Myoviridae,Wphvirus,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
91,Bacillus~phage~Hoody~T,Caudovirales,Myoviridae,Bastillevirus,143_2,Clustered,4,VC_143_2,4,0.0532,0.99991896,0.0532,1,1,1,1.0
92,Bacillus~phage~JBP901,Caudovirales,Myoviridae,Bc431virus,143_8,Clustered,2,VC_143_8,2,0.0206,0.94646038,0.0195,1,1,1,1.0
93,Bacillus~phage~JL,Caudovirales,Myoviridae,Cp51virus,141_1,Clustered,3,VC_141_1,3,0.4416,0.99808836,0.4407,1,1,1,1.0
94,Bacillus~phage~Kida,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
95,Bacillus~phage~MG-B1,Caudovirales,Podoviridae,Unassigned,76_0,Clustered,4,VC_76_0,4,0.5917,0.9999341,0.5917,1,2,2,1.0
96,Bacillus~phage~Mater,Caudovirales,Myoviridae,Unassigned,143_13,Clustered/Singleton,1,VC_143_13,1,0.0,1.0,0.0,1,1,1,1.0
97,Bacillus~phage~Megatron,Caudovirales,Myoviridae,Wphvirus,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
98,Bacillus~phage~Moonbeam,Caudovirales,Myoviridae,Unassigned,143_12,Clustered,2,VC_143_12,2,0.0233,0.95356175,0.0222,1,2,2,1.0
99,Bacillus~phage~Nemo,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
100,Bacillus~phage~Nigalana,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
101,Bacillus~phage~NotTheCreek,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
102,Bacillus~phage~Page,Caudovirales,Podoviridae,Pagevirus,167_0,Clustered,6,VC_167_0,6,0.8468,1.0,0.8468,2,1,1,1.0
103,Bacillus~phage~Palmer,Caudovirales,Podoviridae,Pagevirus,167_0,Clustered,6,VC_167_0,6,0.8468,1.0,0.8468,2,1,1,1.0
104,Bacillus~phage~Pascal,Caudovirales,Podoviridae,Pagevirus,167_0,Clustered,6,VC_167_0,6,0.8468,1.0,0.8468,2,1,1,1.0
105,Bacillus~phage~Pavlov,Caudovirales,Podoviridae,Unassigned,167_0,Clustered,6,VC_167_0,6,0.8468,1.0,0.8468,2,1,1,1.0
106,Bacillus~phage~PfEFR-5,Unassigned,Unassigned,Unassigned,168_0,Clustered/Singleton,1,VC_168_0,1,0.0,1.0,0.0,1,1,1,1.0
107,Bacillus~phage~Phrodo,Unassigned,Unassigned,Unassigned,143_3,Clustered,5,VC_143_3,5,0.0742,0.99999933,0.0742,2,2,2,1.0
108,Bacillus~phage~Pony,Caudovirales,Podoviridae,Pagevirus,167_0,Clustered,6,VC_167_0,6,0.8468,1.0,0.8468,2,1,1,1.0
109,Bacillus~phage~Pookie,Caudovirales,Podoviridae,Pagevirus,167_0,Clustered,6,VC_167_0,6,0.8468,1.0,0.8468,2,1,1,1.0
110,Bacillus~phage~Riley,Caudovirales,Myoviridae,B4virus,143_3,Clustered,5,VC_143_3,5,0.0742,0.99999933,0.0742,2,2,2,1.0
111,Bacillus~phage~SP-15,Unassigned,Unassigned,Unassigned,142_2,Clustered/Singleton,1,VC_142_2,1,0.0,1.0,0.0,1,1,1,1.0
112,Bacillus~phage~SPP1,Caudovirales,Siphoviridae,Unassigned,189_0,Clustered,2,VC_189_0,2,0.0944,0.94967683,0.0896,1,1,1,1.0
113,Bacillus~phage~SageFayge,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
114,Bacillus~phage~SalinJah,Unassigned,Unassigned,Unassigned,143_6,Clustered,4,VC_143_6,4,0.0582,0.99933487,0.0581,2,2,2,1.0
115,Bacillus~phage~Shanette,Caudovirales,Myoviridae,Cp51virus,141_1,Clustered,3,VC_141_1,3,0.4416,0.99808836,0.4407,1,1,1,1.0
116,Bacillus~phage~Shbh1,Unassigned,Unassigned,Unassigned,143_1,Clustered/Singleton,1,VC_143_1,1,0.0,1.0,0.0,1,1,1,1.0
117,Bacillus~phage~Slash,Caudovirales,Siphoviridae,Slashvirus,182_0,Clustered,4,VC_182_0,4,0.9934,0.99863773,0.992,1,1,1,1.0
118,Bacillus~phage~Spock,Caudovirales,Myoviridae,B4virus,143_4,Clustered,2,VC_143_4,2,0.0177,0.92844422,0.0165,1,1,1,1.0
119,Bacillus~phage~Stahl,Caudovirales,Siphoviridae,Slashvirus,182_0,Clustered,4,VC_182_0,4,0.9934,0.99863773,0.992,1,1,1,1.0
120,Bacillus~phage~Staley,Caudovirales,Siphoviridae,Slashvirus,182_0,Clustered,4,VC_182_0,4,0.9934,0.99863773,0.992,1,1,1,1.0
121,Bacillus~phage~Stills,Caudovirales,Siphoviridae,Slashvirus,182_0,Clustered,4,VC_182_0,4,0.9934,0.99863773,0.992,1,1,1,1.0
122,Bacillus~phage~Stitch,Unassigned,Unassigned,Unassigned,76_0,Clustered,4,VC_76_0,4,0.5917,0.9999341,0.5917,1,2,2,1.0
123,Bacillus~phage~TP21-L,Caudovirales,Siphoviridae,Tp21virus,179_0,Clustered,2,VC_179_0,2,0.7488,0.92310481,0.6913,1,1,1,1.0
124,Bacillus~phage~Troll,Caudovirales,Myoviridae,B4virus,143_3,Clustered,5,VC_143_3,5,0.0742,0.99999933,0.0742,2,2,2,1.0
125,Bacillus~phage~TsarBomba,Caudovirales,Myoviridae,Tsarbombavirus,143_7,Clustered,2,VC_143_7,2,0.02,0.94625351,0.0189,1,1,1,1.0
126,Bacillus~phage~VMY22,Caudovirales,Podoviridae,Unassigned,77_0,Clustered,5,VC_77_0,5,0.3934,0.99999254,0.3934,2,2,2,1.0
127,Bacillus~phage~W.Ph.,Caudovirales,Myoviridae,Wphvirus,143_6,Clustered,4,VC_143_6,4,0.0582,0.99933487,0.0581,2,2,2,1.0
128,Bacillus~phage~Wip1,Unassigned,Tectiviridae,Betatectivirus,176_0,Clustered,4,VC_176_0,4,1.0,1.0,1.0,1,1,1,1.0
129,Bacillus~phage~Zuko,Unassigned,Unassigned,Unassigned,143_0,Clustered,12,VC_143_0,12,0.25,1.0,0.25,2,2,2,1.0
130,Bacillus~phage~phiAGATE,Caudovirales,Myoviridae,Agatevirus,143_10,Clustered,3,VC_143_10,3,0.0497,0.9984985,0.0496,1,1,1,1.0
131,Bacillus~phage~phiNIT1,Caudovirales,Myoviridae,Nit1virus,143_11,Clustered,2,VC_143_11,2,0.0245,0.95608909,0.0234,1,1,1,1.0
132,Bacillus~phage~vB_BceM_Bc431v3,Caudovirales,Myoviridae,Bc431virus,143_9,Clustered,3,VC_143_9,3,0.0412,0.99724574,0.0411,1,1,1,1.0
133,Bacillus~virus~1,Caudovirales,Myoviridae,Svunavirus,158_0,Clustered,2,VC_158_0,2,0.3529,0.94986315,0.3352,1,1,1,1.0
134,Bacillus~virus~250,Caudovirales,Siphoviridae,Cecivirus,155_0,Clustered,2,VC_155_0,2,0.3504,0.94713201,0.3318,1,1,1,1.0
135,Bacillus~virus~AP50,Unassigned,Tectiviridae,Betatectivirus,176_0,Clustered,4,VC_176_0,4,1.0,1.0,1.0,1,1,1,1.0
136,Bacillus~virus~Andromeda,Caudovirales,Siphoviridae,Andromedavirus,202_0,Clustered,7,VC_202_0,7,0.9965,0.99994708,0.9964,1,1,1,1.0
137,Bacillus~virus~B103,Caudovirales,Podoviridae,Phi29virus,77_0,Clustered,5,VC_77_0,5,0.3934,0.99999254,0.3934,2,2,2,1.0
138,Bacillus~virus~BMBtp2,Caudovirales,Siphoviridae,Tp21virus,179_0,Clustered,2,VC_179_0,2,0.7488,0.92310481,0.6913,1,1,1,1.0
139,Bacillus~virus~Blastoid,Caudovirales,Siphoviridae,Andromedavirus,202_0,Clustered,7,VC_202_0,7,0.9965,0.99994708,0.9964,1,1,1,1.0
140,Bacillus~virus~Curly,Caudovirales,Siphoviridae,Andromedavirus,202_0,Clustered,7,VC_202_0,7,0.9965,0.99994708,0.9964,1,1,1,1.0
141,Bacillus~virus~Eoghan,Caudovirales,Siphoviridae,Andromedavirus,202_0,Clustered,7,VC_202_0,7,0.9965,0.99994708,0.9964,1,1,1,1.0
142,Bacillus~virus~Finn,Caudovirales,Siphoviridae,Andromedavirus,202_0,Clustered,7,VC_202_0,7,0.9965,0.99994708,0.9964,1,1,1,1.0
143,Bacillus~virus~G,Caudovirales,Myoviridae,Unassigned,142_3,Clustered/Singleton,1,VC_142_3,1,0.0,1.0,0.0,1,1,1,1.0
144,Bacillus~virus~GA1,Caudovirales,Podoviridae,Phi29virus,77_0,Clustered,5,VC_77_0,5,0.3934,0.99999254,0.3934,2,2,2,1.0
145,Bacillus~virus~Glittering,Caudovirales,Siphoviridae,Andromedavirus,202_0,Clustered,7,VC_202_0,7,0.9965,0.99994708,0.9964,1,1,1,1.0
146,Bacillus~virus~IEBH,Caudovirales,Siphoviridae,Cecivirus,155_0,Clustered,2,VC_155_0,2,0.3504,0.94713201,0.3318,1,1,1,1.0
147,Bacillus~virus~Riggi,Caudovirales,Siphoviridae,Andromedavirus,202_0,Clustered,7,VC_202_0,7,0.9965,0.99994708,0.9964,1,1,1,1.0
148,Bacillus~virus~SPO1,Caudovirales,Myoviridae,Spo1virus,141_0,Clustered,2,VC_141_0,2,0.1592,0.95626232,0.1523,1,1,1,1.0
149,Bacillus~virus~phi29,Caudovirales,Podoviridae,Phi29virus,77_0,Clustered,5,VC_77_0,5,0.3934,0.99999254,0.3934,2,2,2,1.0
150,Bacteriophage~APSE-2,Caudovirales,Podoviridae,Unassigned,220_0,Clustered,2,VC_220_0,2,0.1102,0.95557715,0.1053,1,1,1,1.0
151,Bacteroides~phage~B124-14,Caudovirales,Siphoviridae,Unassigned,187_0,Clustered,2,VC_187_0,2,0.38,0.94702572,0.3598,1,1,1,1.0
152,Bacteroides~phage~B40-8,Caudovirales,Siphoviridae,Unassigned,187_0,Clustered,2,VC_187_0,2,0.38,0.94702572,0.3598,1,1,1,1.0
153,Bdellovibrio~phage~phi1402,Caudovirales,Myoviridae,Unassigned,250_0,Clustered,5,VC_250_0,5,0.8332,0.99999688,0.8332,1,2,2,1.0
154,Bdellovibrio~phage~phi1422,Caudovirales,Myoviridae,Unassigned,252_0,Clustered,37,VC_252_0,37,0.5508,1.0,0.5508,1,2,2,1.0
155,Bdellovibrio~phage~phiMH2K,Unassigned,Microviridae,Bdellomicrovirus,257_0,Clustered,11,VC_257_0,11,0.7338,1.0,0.7338,3,1,1,1.0
156,Bordetella~virus~BPP1,Caudovirales,Podoviridae,Bpp1virus,219_0,Clustered,14,VC_219_0,14,0.4079,1.0,0.4079,2,2,2,1.0
157,Brevibacillus~phage~Abouo,Caudovirales,Myoviridae,Abouovirus,170_0,Clustered,4,VC_170_0,4,0.6967,0.99995464,0.6966,2,1,1,1.0
158,Brevibacillus~phage~Davies,Caudovirales,Myoviridae,Abouovirus,170_0,Clustered,4,VC_170_0,4,0.6967,0.99995464,0.6966,2,1,1,1.0
159,Brevibacillus~phage~Jenst,Caudovirales,Siphoviridae,Jenstvirus,142_1,Clustered/Singleton,1,VC_142_1,1,0.0,1.0,0.0,1,1,1,1.0
160,Brevibacillus~phage~Jimmer1,Caudovirales,Myoviridae,Jimmervirus,170_0,Clustered,4,VC_170_0,4,0.6967,0.99995464,0.6966,2,1,1,1.0
161,Brevibacillus~phage~Osiris,Caudovirales,Myoviridae,Jimmervirus,170_0,Clustered,4,VC_170_0,4,0.6967,0.99995464,0.6966,2,1,1,1.0
162,Brochothrix~phage~NF5,Caudovirales,Siphoviridae,Unassigned,280_0,Clustered/Singleton,1,VC_280_0,1,0.0,1.0,0.0,1,1,1,1.0
163,Brucella~phage~Pr,Caudovirales,Podoviridae,Prtbvirus,284_0,Clustered,2,VC_284_0,2,0.5715,0.94787514,0.5417,1,1,1,1.0
164,Brucella~phage~Tb,Caudovirales,Podoviridae,Prtbvirus,284_0,Clustered,2,VC_284_0,2,0.5715,0.94787514,0.5417,1,1,1,1.0
